filename,character_count,word_count,line_count
vol 7_c116135-chap-150-takatsuki-makoto-noi-chuyen-voi-bach-dai-hien-gia,16661,3546,1
vol 7_c116167-chuong-151-takatsuki-makoto-di-den-hoa-quoc,15288,3219,1
vol 7_c116247-chuong-152-takatsuki-makoto-bi-tan-cong,14187,2972,1
vol 7_c116380-chuong-153-takatsuki-makoto-lang-nghe-loi-khuyen,18003,3800,1
vol 7_c116381-chuong-154-duoc-takatsuki-makoto-giup-do-de-len-ap,15640,3288,1
vol 7_c116614-chuong-155-takatsuki-makoto-nho-cac-nu-than-chi-day,17479,3705,1
vol 7_c116736-chuong-156-takatsuki-makoto-dao-quanh-vuong-do,11072,2304,1
vol 7_c116974-chuong-157-giac-mo-cua-nguyet-vu-nu,15442,3244,1
vol 7_c117141-chuong-158-takatsuki-makoto-di-dao-o-hoa-quoc-vao-buoi-toi,14429,3090,1
vol 7_c117434-chuong-159-takatsuki-makoto-gap-lai-ban-hoc,16473,3503,1
vol 7_c117945-chuong-160-takatsuki-makoto-tro-ve-vao-buoi-sang,13151,2759,1
vol 7_c118154-chuong-161-cuoc-song-voi-cac-co-gai-vay-quanh-takatsuki-makoto,14799,3083,1
vol 7_c118536-chuong-162-takatsuki-makoto-duoc-tuong-quan-moi-den,16688,3516,1
vol 7_c118544-chuong-163-takatsuki-makoto-khong-duoc-xem-giai-dau,19173,4116,1
vol 7_c119135-chuong-164,15395,3293,1
vol 7_c119136-chuong-165-takatsuki-makoto-theo-doi-tran-dau-giao-huu,13472,2823,1
vol 7_c119358-chuong-166-takatsuki-makoto-hoang-so,15810,3249,1
vol 7_c120222-chuong-167-vien-canh-tan-the,17538,3661,1
vol 7_c120264-chuong-168-takatsuki-makoto-khai-trien-tuyet-ky,19061,3992,1
vol 7_c120276-chuong-169-takatsuki-makoto-hoa-tinh-linh,14863,3097,1
vol 7_c120876-chuong-170,20860,4366,1
vol 7_c121754-chuong-171-phan-ket,20577,4346,1
vol 8_c122824-chuong-172,20401,4317,1
vol 8_c123313-minh-hoa,3800,808,1
vol 8_c123508-chuong-173-takatsuki-makoto-va-hanh-trinh-tiep-theo-o-thai-duong-quoc,16669,3518,1
vol 8_c123859-chuong-174-takatsuki-makoto-va-cuoc-gap-go-o-thai-duong-quoc,18888,3992,1
vol 8_c124077-chuong-175-tin-do-cua-co-than-toc,18455,3889,1
vol 8_c124397-chuong-176-takatsuki-makoto-va-van-menh-vu-nu,18518,3930,1
vol 8_c125608-chuong-177-takatsuki-makoto-va-cam-tu-quan,22322,4722,1
vol 8_c126568-chuong-178-nhan-loai-ma-toc-dai-quyet-chien-phan-1,16680,3553,1
vol 8_c126656-chuong-179-takatsuki-makoto-dien-kien-nu-than,24063,5188,1
vol 8_c126691-chuong-180-takatsuki-makoto-dat-chan-den-co-do-nguyet-quoc-cornet,23278,5087,1
vol 8_c126755-chuong-181-nhan-loai-ma-toc-dai-quyet-chien-i-phan-ii,16494,3466,1
vol 8_c126806-chuong-182-cu-soc-cua-su-doan-truong-doi-hiep-si,18419,3974,1
vol 8_c128665-chuong-183-nhan-loai-ma-toc-dai-quyet-chien-hoi-iii,15351,3296,1
vol 8_c129844-chuong-184-cau-chuyen-cua-takatsuki-makoto-va-sasaki-aya,17937,3882,1
vol 8_c132122-chuong-185-takatsuki-makoto-thuong-thuc,15932,3480,1
vol 8_c133027-chuong-186-nhan-loai-ma-toc-dai-quyet-chien-hoi-iv,15272,3291,1
